,time,Data,airtime,coding_rate,data_rate,frequency,gateway,rssi,sensor,snr
142,2019-09-18 14:18:08.769870080+00:00,17060,92672000,4/5,SF8BW125,868.3,iot-mashinani,-55,mdot-03,11.75
143,2019-09-18 14:19:10.895625216+00:00,16964,51456000,4/5,SF7BW125,868.3,eui-7276ff00080e0675,-84,mdot-03,9.8
144,2019-09-18 14:19:10.895625216+00:00,16964,51456000,4/5,SF7BW125,868.3,eui-0002fcc23d0b760a,-71,mdot-03,10.0
145,2019-09-18 14:19:10.895625216+00:00,16964,51456000,4/5,SF7BW125,868.3,iot-mashinani,-54,mdot-03,9.5
146,2019-09-18 14:21:14.362209024+00:00,17108,1318912000,4/5,SF12BW125,868.3,eui-7276ff00080e0675,-90,mdot-03,7.8
147,2019-09-18 14:21:14.362209024+00:00,17108,1318912000,4/5,SF12BW125,868.3,eui-0002fcc23d0b760a,-66,mdot-03,9.2
148,2019-09-18 14:21:14.362209024+00:00,17108,1318912000,4/5,SF12BW125,868.3,iot-mashinani,-51,mdot-03,9.25
149,2019-09-18 14:24:16.779886080+00:00,15427,164864000,4/5,SF9BW125,868.3,eui-7276ff00080e0675,-98,mdot-03,12.2
150,2019-09-18 14:24:16.779886080+00:00,15427,164864000,4/5,SF9BW125,868.3,eui-0002fcc23d0b760a,-77,mdot-03,11.2
151,2019-09-18 14:24:16.779886080+00:00,15427,164864000,4/5,SF9BW125,868.3,iot-mashinani,-67,mdot-03,10.5
152,2019-09-18 14:25:18.946588160+00:00,15491,92672000,4/5,SF8BW125,868.3,eui-7276ff00080e0675,-98,mdot-03,11.2
153,2019-09-18 14:25:18.946588160+00:00,15491,92672000,4/5,SF8BW125,868.3,eui-0002fcc23d0b760a,-79,mdot-03,11.2
154,2019-09-18 14:25:18.946588160+00:00,15491,92672000,4/5,SF8BW125,868.3,iot-mashinani,-72,mdot-03,11.75
155,2019-09-18 14:26:21.251620096+00:00,16708,46336000,4/5,SF7BW125,868.3,iot-mashinani,-69,mdot-03,8.75
156,2019-09-18 14:28:24.366930944+00:00,16884,1155072000,4/5,SF12BW125,868.3,iot-mashinani,-61,mdot-03,6.0
157,2019-09-18 14:30:26.918524928+00:00,16852,329728000,4/5,SF10BW125,868.5,iot-mashinani,-66,mdot-03,8.0
158,2019-09-18 14:31:29.141096192+00:00,16804,164864000,4/5,SF9BW125,868.5,iot-mashinani,-61,mdot-03,8.25
159,2019-09-18 14:32:31.298264064+00:00,15651,92672000,4/5,SF8BW125,868.1,eui-7276ff00080e0675,-96,mdot-03,11.8
160,2019-09-18 14:32:31.298264064+00:00,15651,92672000,4/5,SF8BW125,868.1,eui-0002fcc23d0b760a,-86,mdot-03,11.2
161,2019-09-18 14:32:31.298264064+00:00,15651,92672000,4/5,SF8BW125,868.1,iot-mashinani,-63,mdot-03,10.25
162,2019-09-18 14:33:33.413628160+00:00,16003,46336000,4/5,SF7BW125,868.5,eui-0002fcc23d0b760a,-81,mdot-03,7.2
163,2019-09-18 14:33:33.413628160+00:00,16003,46336000,4/5,SF7BW125,868.5,iot-mashinani,-57,mdot-03,7.5
164,2019-09-18 14:35:36.712222208+00:00,15139,1155072000,4/5,SF12BW125,868.3,eui-7276ff00080e0675,-87,mdot-03,6.0
165,2019-09-18 14:35:36.712222208+00:00,15139,1155072000,4/5,SF12BW125,868.3,eui-0002fcc23d0b760a,-74,mdot-03,7.0
166,2019-09-18 14:35:36.712222208+00:00,15139,1155072000,4/5,SF12BW125,868.3,iot-mashinani,-58,mdot-03,6.25
167,2019-09-18 14:54:20.403471872+00:00,11394,1155072000,4/5,SF12BW125,868.3,iot-mashinani,-54,mdot-two,7.75
168,2019-09-18 14:54:20.403471872+00:00,11394,1155072000,4/5,SF12BW125,868.3,eui-0002fcc23d0b760a,-62,mdot-two,6.0
169,2019-09-18 14:54:20.403471872+00:00,11394,1155072000,4/5,SF12BW125,868.3,eui-7276ff00080e0675,-76,mdot-two,5.5
170,2019-09-18 14:56:24.783486976+00:00,8834,329728000,4/5,SF10BW125,868.1,iot-mashinani,-77,mdot-two,7.5
171,2019-09-18 14:56:24.783486976+00:00,8834,329728000,4/5,SF10BW125,868.1,eui-7276ff00080e0675,-68,mdot-two,8.5
172,2019-09-18 14:57:27.129568+00:00,9186,185344000,4/5,SF9BW125,868.3,iot-mashinani,-79,mdot-two,13.0
173,2019-09-18 14:57:27.129568+00:00,9186,185344000,4/5,SF9BW125,868.3,eui-7276ff00080e0675,-66,mdot-two,11.2
174,2019-09-18 14:58:29.705032960+00:00,9362,92672000,4/5,SF8BW125,868.1,iot-mashinani,-87,mdot-two,11.0
175,2019-09-18 14:58:29.705032960+00:00,9362,92672000,4/5,SF8BW125,868.1,eui-7276ff00080e0675,-74,mdot-two,10.2
176,2019-09-18 14:59:31.909733888+00:00,9282,46336000,4/5,SF7BW125,868.1,iot-mashinani,-85,mdot-two,8.75
177,2019-09-18 14:59:31.909733888+00:00,9282,46336000,4/5,SF7BW125,868.1,eui-0002fcc23d0b760a,-67,mdot-two,8.8
178,2019-09-18 15:01:35.545943040+00:00,9346,1318912000,4/5,SF12BW125,868.3,iot-mashinani,-83,mdot-two,7.0
179,2019-09-18 15:01:35.545943040+00:00,9346,1318912000,4/5,SF12BW125,868.3,eui-0002fcc23d0b760a,-63,mdot-two,7.8
180,2019-09-18 15:01:35.545943040+00:00,9346,1318912000,4/5,SF12BW125,868.3,eui-7276ff00080e0675,-72,mdot-two,8.5
181,2019-09-18 15:04:38.494317056+00:00,9090,164864000,4/5,SF9BW125,868.3,iot-mashinani,-83,mdot-two,10.0
182,2019-09-18 15:05:40.750366976+00:00,9122,92672000,4/5,SF8BW125,868.5,iot-mashinani,-88,mdot-two,8.5
183,2019-09-18 15:06:42.963932928+00:00,9106,51456000,4/5,SF7BW125,868.5,iot-mashinani,-94,mdot-two,6.75
184,2019-09-18 17:42:58.357661952+00:00,8578,164864000,4/5,SF9BW125,868.1,eui-0002fcc23d0b760a,-69,mdot-two,11.0
185,2019-09-18 17:45:02.819648+00:00,8482,51456000,4/5,SF7BW125,868.3,eui-7276ff00080e0675,-75,mdot-two,8.8
186,2019-09-18 17:45:02.819648+00:00,8482,51456000,4/5,SF7BW125,868.3,eui-0002fcc23d0b760a,-65,mdot-two,9.8
187,2019-09-18 17:47:05.475083008+00:00,8498,1155072000,4/5,SF12BW125,868.1,eui-7276ff00080e0675,-78,mdot-two,5.8
188,2019-09-18 17:47:05.475083008+00:00,8498,1155072000,4/5,SF12BW125,868.1,eui-0002fcc23d0b760a,-65,mdot-two,5.5
189,2019-09-18 17:49:08.367016960+00:00,8562,329728000,4/5,SF10BW125,868.3,eui-7276ff00080e0675,-73,mdot-two,8.8
190,2019-09-18 17:49:08.367016960+00:00,8562,329728000,4/5,SF10BW125,868.3,eui-0002fcc23d0b760a,-63,mdot-two,10.2
191,2019-09-18 17:50:10.969942016+00:00,8514,164864000,4/5,SF9BW125,868.3,eui-7276ff00080e0675,-80,mdot-two,12.2
192,2019-09-18 17:50:10.969942016+00:00,8514,164864000,4/5,SF9BW125,868.3,eui-0002fcc23d0b760a,-65,mdot-two,10.2
193,2019-09-18 17:51:13.336636160+00:00,8482,92672000,4/5,SF8BW125,868.5,eui-7276ff00080e0675,-80,mdot-two,7.5
194,2019-09-18 17:51:13.336636160+00:00,8482,92672000,4/5,SF8BW125,868.5,eui-0002fcc23d0b760a,-64,mdot-two,8.8
195,2019-09-18 17:52:15.541178880+00:00,8482,46336000,4/5,SF7BW125,868.3,eui-7276ff00080e0675,-75,mdot-two,8.0
196,2019-09-18 17:52:15.541178880+00:00,8482,46336000,4/5,SF7BW125,868.3,eui-0002fcc23d0b760a,-64,mdot-two,8.8
197,2019-09-18 17:57:22.061619968+00:00,8450,164864000,4/5,SF9BW125,868.5,eui-7276ff00080e0675,-80,mdot-two,8.0
198,2019-09-18 17:57:22.061619968+00:00,8450,164864000,4/5,SF9BW125,868.5,eui-0002fcc23d0b760a,-65,mdot-two,8.2
199,2019-09-18 17:58:24.313740032+00:00,8450,92672000,4/5,SF8BW125,868.1,eui-7276ff00080e0675,-78,mdot-two,11.8
